11,13031842.907201055,0.8399812436222823,0.34382675583616623,13192878.682100868,23738,0,5
11,13024219.508197505,0.9307068330586319,0.4312525788710142,13237042.18338625,23771,0,5
11,12970760.482396115,0.7035182235916404,0.21197233227857698,13201077.185953874,28562,0,6
11,12995576.725280674,0.8085315524077871,0.2409726063071543,13232279.757662155,33226,0,7
11,12970819.79503484,0.9047341263911222,0.259319015643042,13278318.07560416,37951,0,8
11,12973587.209416507,0.8024178684372196,0.23485101875525694,13210709.431866864,33204,0,7
11,12979608.148512064,0.9762507763069072,0.4890156396457718,13240603.511774011,28442,0,6
11,12954103.788028266,0.8049718682681366,0.23812184812720968,13203073.987572836,33247,0,7
11,13012926.633138916,0.9772198255470075,0.33520399623252967,13229263.72726649,37959,0,8
11,12938993.130269863,1.022318562043365,0.5355241627041768,13212215.182707561,28438,0,6
