0,785099.999627511,28
1,788392.3212099953,31
2,784601.0887693395,30
3,796977.651780317,30
4,774932.4418917254,32
5,787982.9911217177,32
6,780894.6613216727,32
7,784454.3062310945,28
8,793317.4602300846,29
9,789737.1837831138,25
10,781427.6280367007,35
11,779536.7478485521,36
12,791022.9934033746,24
13,780455.0790717704,30
14,780839.0608502992,28
15,791322.770791522,32
16,799559.0385413705,20
17,788577.6300637191,25
18,786390.9076949254,29
19,783611.5656375624,28
20,790772.7645723445,29
21,800269.2113058424,34
22,800734.9843309874,29
23,786949.4005844033,36
24,779057.9622559983,33
