0,2734357658.988502
1,2693213509.0037003
2,2687645952.7205486
3,2643123912.2170367
4,2682058561.0545897
5,2714673255.614592
6,2699304216.781044
7,2724413362.932474
8,2647772364.7659535
9,2719282747.406796
10,2767364612.485903
11,2635248688.3278756
12,2612738573.9926066
13,2757778600.178495
14,2795732944.527615
15,2784021059.0407605
16,2606145005.9308667
17,2709526443.0082254
18,2688719683.3390675
19,2721388105.9485703
20,2664010001.442257
21,2740007623.1513743
22,2682988197.468183
23,2786931680.9550366
24,2783079326.493541
