0,759111.1444239466,33
1,783890.233321563,32
2,804444.968310415,25
3,848369.2055633334,25
4,864686.772741444,24
5,862343.7795606821,23
6,953579.8865538195,26
7,953259.4464419563,12
8,989622.8987110757,13
9,1147657.4114518107,11
10,1028240.9215759592,7
11,1116807.9997795192,4
12,1067642.8574033226,2
13,1174456.5983800902,0
14,1152283.270046513,0
15,1211708.5586592844,0
16,1314755.639001224,0
17,1105650.4263341492,0
18,1215339.0491227123,0
19,1149643.7632457663,0
20,1181582.166563887,0
21,1108554.0356968539,0
22,1074808.9966136809,0
23,1174910.8346037609,0
24,1120094.7112097424,0
