0,761373.9658854178,33
1,783108.6121248618,31
2,799332.6178692691,29
3,823931.5585706313,22
4,862439.1278190135,20
5,936977.1616431838,16
6,1001192.2236543997,18
7,944009.5099095803,14
8,1085373.4760203671,16
9,985130.587227312,11
10,1025953.3455917791,9
11,1036269.6925650536,6
12,1109935.9944052876,6
13,1101585.9225610625,1
14,1154647.6640283165,0
15,1217497.5802189799,0
16,1146983.6876802132,0
17,1092062.2617338633,0
18,1101013.624569713,0
19,1296570.5528262593,0
20,1153672.5103628018,0
21,1118216.4142797813,0
22,1156091.8805865392,0
23,1132916.3617002084,0
24,1168572.080213646,0
