0,1217486575.0066967
1,1379559363.523947
2,1231775957.1522336
3,1271476685.2204535
4,1294730042.9796228
5,1298143426.599698
6,1262574210.8302524
7,1208619602.6626937
8,1264352255.413088
9,1293062226.9045994
10,1251330913.5131102
11,1282802936.624687
12,1243644438.2295861
13,1142780096.268695
14,1257744496.58859
15,1168545858.6121776
16,1246484871.5595376
17,1237959725.366402
18,1353239845.564383
19,1231047570.8336425
20,1290089040.395903
21,1330955043.156012
22,1226179448.5091658
23,1466341123.048577
24,1353564091.9342837
